 % ---------- pFEM ---------
 % File generated by pFEM
 % Creation time: 17:2:57, 21/7/2022
 % ---------- pFEM ---------
         iter     nr_dof                     MinP                     MaxP                    Error                    Lower 
           1           9           1           1   118.24713286207771        16.706659397176676     
           2          49           1           1   279.93112347088214        76.521052408357576     
           3          51           1           1   7.6898108561881644        62.034879986535763     
           4          55           1           1   22.926074303919503        27.573972805892645     
           5          58           1           1   64.078244396612192        71.145614578949562     
           6          96           1           1   17.669740443065297        45.942231611231222     
           7         143           1           1   35.672994923851277        42.561902189136639     
           8         161           1           1   12.456265546970446        37.052131817449222     
           9         222           1           1   2.3880843426750706        41.969601363067447     
          10         307           1           1   12.748374062658376        34.982271208736520     
          11         461           1           1   1.0131158323851275        11.113607935276928     
          12         587           1           1   6.7202766361214223        21.558245034128014     
          13        1158           1           1   4.5644287562846069       0.25663371103313243     
          14        1490           1           1  0.73030478387094677        13.109792885276262     
          15        2502           1           1  0.22806794088076079        5.4330818882910181     
          16        3960           1           1  0.13736195721108876        4.2358500039283280     
          17        7425           1           1   1.4864431449818067E-002   5.1197913330678180     
          18       13076           1           1   1.3208070600548118E-003   6.0254449295157277     
          19       17358           1           1   1.8518565435405145E-004   5.9586885269446386     
          20       20297           1           1   4.0516681348603585E-005   5.4386667771953920     
          21       28394           1           1   2.8070295611426838E-005   5.4032774230649725     
          22       56067           1           1   5.7124078081778923E-006   5.2010840659959117     
