 % ---------- pFEM ---------
 % File generated by pFEM
 % Creation time: 17:2:42, 21/7/2022
 % ---------- pFEM ---------
         iter     nr_dof                     MinP                     MaxP                    Error                    Lower 
           1           9           1           1   118.24713286209092        16.706659397184662     
           2          49           3           3   275.57084334035142        98.610203525554013     
           3         461           1           3   151.89971558421379        65.030140048804085     
           4         161           3           5   50.435383669678259        6.1648353746445945     
           5         221           1           5  0.44651288044412096        29.063157166286807     
           6         242           3           7   2.5453196471151296        15.515218121220384     
           7         304           1           7   36.426221208769391        31.023352229604356     
           8         388           1           9   20.916997118064458        30.578709022984256     
           9         800           1           9   3.2779198797786382        5.5320867432144674     
          10         829           1          11   5.9104285353193298        26.862910996223672     
          11        1010           1          11   8.2232677473585039        20.054538178692034     
          12        1283           1          11   5.8224716021399008        10.317485012118199     
          13        1852           1          11  0.42076064371650418        17.252137716155946     
          14        2807           1          11  0.74489567151723657        12.170524632001731     
          15        3637           1          11   5.8979778603282670E-004   13.392258949657856     
          16        5791           1          11   6.9424341931403663E-002   2.1175517424683338E-002
          17        9578           1          11   7.9067233645538030E-003  0.23903277995175284     
          18       15670           1          11   2.8173009159473458E-003  0.90873525961518498     
          19       22975           1          11   1.5682301658717353E-003  0.23563134910054906     
          20       29501           1          11   2.8929413907958845E-004  0.27717043318451595     
          21       31594           1          11   7.5376801396398116E-004  0.12890865618416758     
          22       38514           1          11   3.4482660965287561E-004  0.14118932110327717     
          23       47042           1          11   4.4032580371565868E-004   1.3378670154733811E-002
          24       54201           1          11   1.0570882763875782E-004   8.0831267027874631E-003
          25       61383           1          11   4.0558813709914763E-005   4.5051541248429861E-002
          26       66508           1          11   1.4054940161170073E-005   4.4327037786098186E-002
          27       54323           1          11   1.8644433685676895E-005   5.5556965207087819E-002
          28       56953           1          11   1.7988343991734807E-005   5.5580940034690482E-002
          29       59723           1          11   2.1764695275964281E-005   5.4812075868034354E-002
          30       61933           1          11   3.3396862276535571E-005   5.4812732978330218E-002
          31       64328           1          11   3.5061993604089673E-005   4.3417041138985063E-002
          32       64277           1          11   3.5124854800261679E-005   4.3416400703580237E-002
          33       65675           1          11   3.5124891943223305E-005   5.2062820573306023E-002
          34       67177           1          11   4.1040369246984111E-005   5.2064710945944177E-002
          35       79067           1          11   1.3236545808913315E-005   5.1927892474217072E-002
          36       76288           1          11   1.3474082893754867E-005   5.1874129507539779E-002
          37       71449           1          11   1.3840060611452932E-005   5.1800073535198450E-002
          38       70950           1          11   1.3926988191240454E-005   5.1800050937872717E-002
          39       72083           1          11   1.2119428712700169E-005   5.1822358178579692E-002
          40       72663           1          11   1.2172838159267778E-005   5.1822366751907101E-002
          41       76765           1          11   1.1492972178739170E-005   5.1822810570477794E-002
          42       73840           1          11   1.1745010071092589E-005   5.1822607041580829E-002
          43       74309           1          11   1.1374691087710462E-005   5.1824964184991822E-002
          44       72555           1          11   1.1662670777427666E-005   5.1822897422272973E-002
          45       75024           1          11   1.1351031684639589E-005   5.1812095531234816E-002
          46       72501           1          11   1.1346944722286031E-005   5.1812156314337013E-002
          47       72651           1          11   1.1314167413193147E-005   5.1812429221878779E-002
          48       70947           1          11   1.1336616017387140E-005   5.1812484925762348E-002
          49       78614           1          11   8.7893556070887382E-006   5.0686011554926171E-002
          50       78046           1          11   6.5149858786819463E-006   5.0686550155567875E-002
          51       79604           1          11   7.9522896684753933E-006   5.0693087357710186E-002
          52       78399           1          11   8.0113626096402598E-006   5.0693530837238092E-002
          53       79573           1          11   7.9191831878846713E-006   5.0693561273699173E-002
          54       78681           1          11   7.9770268710221582E-006   5.0693878763100400E-002
          55       81968           1          11   8.4479918947356404E-006   5.0697212361373409E-002
          56       81644           1          11   8.4492979497296094E-006   5.0696990034497250E-002
          57       82433           1          11   8.5060136049391285E-006   5.0696885502177498E-002
          58       79321           1          11   8.5088563445785464E-006   5.0696889904166736E-002
          59       79754           1          11   8.5008146255653615E-006   5.0696869718989859E-002
          60       76247           1          11   8.5005718535817963E-006   5.0696924662075357E-002
