 % ---------- pFEM ---------
 % File generated by pFEM
 % Creation time: 21:33:57, 21/7/2022
 % ---------- pFEM ---------
         iter     nr_dof                     MinP                     MaxP                    Error                    Lower 
           1           9           1           1   118.24713286209796        16.706659397187401     
           2          49           1           1   279.93112347084684        76.521052408354279     
           3         225           1           1   175.64443005672481        83.537401296106779     
           4         258           1           1   16.816268374605695        4.9233598696992305     
           5         147           1           1   43.902954703279804        17.067614549946718     
           6         150           1           1   9.8527845961927465        21.798244274948008     
           7         170           1           1   8.6858599959512279        16.620008188342688     
           8         157           1           1   78.010812307466395        39.333608625743430     
           9         117           1           1   52.167604453350968        47.821069759835076     
          10          94           1           1   77.907788590851595        42.474790004868005     
          11          72           1           1   77.849256927583156        60.894341815585292     
          12          79           1           1   51.585817793541509        45.419677411896473     
          13          56           1           1   58.229943295325612        57.742873019993567     
          14          42           1           1   78.687694205098623        56.888738586808266     
          15         182           1           1   51.520958464979635        4.6502204255640622     
          16          66           1           1   109.59532336982944        44.636715771257286     
          17          74           1           1   38.042671143595044        15.859130827335074     
          18          91           1           1   20.272425066558156        18.238133258350945     
          19         112           1           1   45.411367598559025        28.833926285446349     
          20         107           1           1   50.850004290326304        38.566977393321430     
          21         192           1           1   21.439323717514686        25.226273311365095     
          22         147           1           1   42.088009003337341        45.358019422472168     
          23         216           1           1   33.440966013964939        44.962706683690875     
          24         230           1           1   44.337398653253842        40.290159949102900     
          25         178           1           1   62.133503047478769        58.867049958633778     
          26          90           1           1   42.256971254380282        35.348924120410160     
          27          79           1           1   6.7671796817270948        22.384379920282772     
          28          83           1           1   24.858611349247621        35.984355016715945     
          29          96           1           1   11.104565262745094        34.904882683326818     
          30          86           1           1   41.286813057624435        44.705602787302631     
          31          84           1           1   54.191049957482015        40.663486622795034     
          32         116           1           1   9.5890080058505962        43.958092077582528     
          33          96           1           1   29.256658429504245        22.603163136975521     
          34          97           1           1   4.0688249478202554        33.214981145806242     
          35          63           1           1   31.857720388176837        37.703554669139919     
          36          78           1           1   78.822039382496726        29.008084330059230     
          37          97           1           1   32.359736659645087        25.326651540213476     
          38          63           1           1   56.008419113458039        57.631287384977412     
          39          82           1           1   145.33729889450711        39.173787544633960     
          40          81           1           1   62.557314205464110        47.742682509925380     
          41          63           1           1   32.063885862263426       0.71132894428830762     
          42         194           1           1   61.878497588882219        40.030307564054688     
          43         143           1           1   17.074898508875084        26.795775384610476     
          44         117           1           1   86.295846267518854        42.892013193566719     
          45          63           1           1   80.576710375594928        45.684486412801455     
          46          33           1           1   84.913818230013774        63.607044787819703     
          47          56           1           1   120.03208674224464        22.008821076381217     
          48          40           1           1   9.8211916304431188        12.945485651790536     
          49          36           1           1   88.134256076754696        44.850016135921926     
          50          24           1           1   88.797857824359568        28.242210926796545     
          51          68           1           1   104.31317808078049       0.77642474948983209     
          52          10           1           1   118.68496629625183        91.486205915177635     
          53          31           1           1   368.91554819591039        86.590154668639613     
          54          15           1           1   185.54454015312484        82.591053436752134     
          55          11           1           1   2990.4663445847136        195.17669092550213     
          56          65           1           1   133.52662849796155        1.5904214312597693     
          57         130           1           1   12.646308984643534        64.361741244917312     
          58         275           1           1   17.976544946661630        16.113501768311885     
          59         407           1           1   66.521962753804260        29.617199220754582     
          60         784           1           1   14.930720533443878        7.4953589330821444     
          61        1141           1           1   23.052970058627448        1.7518353648905274     
          62        1761           1           1   9.4440646279411258        12.457132381951665     
          63        2732           1           1   23.746555641068113        6.2005414037215072     
          64        3627           1           1   3.7277992127412833        16.137172061966730     
          65        5574           1           1   1.0764491591612306        10.354819805622578     
          66        8069           1           1   2.5808182245369111        4.2401315836764590     
          67       12294           1           1   5.9268586111589761        4.2437211009396920     
          68       19065           1           1   10.759784458548786        6.1791159142493477     
