 % ---------- pFEM ---------
 % File generated by pFEM
 % Creation time: 21:33:18, 21/7/2022
 % ---------- pFEM ---------
         iter     nr_dof                     MinP                     MaxP                    Error                    Lower 
           1           9           1           1   118.24713286210795        16.706659397191775     
           2          49           3           3   275.57084334035585        98.610203525556244     
           3         529           3           3   156.68458899871035        80.948527341001181     
           4         830           3           5   8.1242430682207569        10.182234295641198     
           5         775           1           5   59.964272016712229        42.358780301339102     
           6         694           3           7   42.254846917763800        47.949965574380911     
           7        1655           1           7   33.635368646392891        3.1837219835360751     
           8        2018           1           9   1.3231311313828023        5.5306516469182068     
           9        2206           1           9   6.9686818952125531        8.6917658791555574     
          10        2118           1          11   8.1789459870511276        5.6407441899339865     
          11        3281           1          11  0.81826022586405789        2.3893857573431037     
          12        3161           1          11   7.6275411458542459        3.3681308503736576     
          13        4201           1          11  0.35903372886213886       0.70721632050079641     
          14        5573           1          11   1.8115374314337851       0.99977669730571084     
          15        7330           1          11  0.15872358644300005        2.4681392730050024E-002
          16       11914           1          11   2.2554778407759778E-002   1.6202679115615116E-002
          17       14597           1          11   1.9311999826081127E-003   2.0980741798218221E-004
          18       15519           1          11   6.6448473642526425E-003   9.3362673774644868E-004
          19       15264           1          11   7.2579473755944183E-003   1.8498505731794313E-003
          20       16376           1          11   2.5064987678197377E-003   1.5729513961460452E-003
          21       17577           1          11   4.1436398241532129E-003   1.8883589867758738E-003
          22       21844           1          11   5.1124670615762110E-003   1.1457369561935081E-003
          23       33224           1          11   9.7850694699705022E-006   8.4907439723744808E-005
          24       34019           1          11   2.5070130815086890E-004   1.4871035319322191E-004
          25       37996           1          11   2.7331693601246080E-006   8.4641965147907875E-005
          26       38450           1          11   7.9136577776146014E-005   1.0410278720315559E-004
          27       54297           1          11   4.0204489928494456E-006   1.9170674588283591E-005
